job_title,company_size,posted_date,year,quarter,description,years_experience_true,skill_count_true,degree_level_true
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Azure, Excel, GCP, Power BI. Minimum 3 years experience required. Master's preferred. Must thrive in a stakeholder management.",3,4,Master's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Salesforce, SQL, Snowflake, R, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,5,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with AWS, Statistics, R. Minimum 2 years experience required. Bachelor's required. Must thrive in a cross-functional collaboration.",2,3,Bachelor's required
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 5+ years of experience. Required skills: Tableau, Azure, Python. Bachelor's preferred. stakeholder management",5,3,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Looker. Master's preferred. We're looking for someone who can self-starter.,4,1,Master's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, Power BI, Snowflake. Minimum 2 years experience required. Master's required. Must thrive in a high-growth.",2,3,Master's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: Azure. Bachelor's preferred. stakeholder management,2,1,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: SAP, Snowflake, Statistics, Tableau. None mentioned. ambiguity",2,4,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Git, Snowflake. None mentioned. We're looking for someone who can ownership mindset.",2,2,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: SAP, Machine Learning, A/B Testing. Bachelor's preferred. fast-paced environment",1,3,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with A/B Testing. Minimum 1 years experience required. None mentioned. Must thrive in a self-starter.",1,1,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Python, Statistics. Bachelor's preferred. stakeholder management",2,2,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Git, Azure, Power BI, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a ownership mindset.",2,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in SQL, GCP, SAP, Tableau, Salesforce. Bachelor's required. We're looking for someone who can fast-paced environment.",3,5,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Excel, Snowflake, Machine Learning, AWS, Azure, A/B Testing. Minimum 3 years experience required. None mentioned. Must thrive in a stakeholder management.",3,6,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Snowflake. Minimum 2 years experience required. Master's required. Must thrive in a high-growth.",2,1,Master's required
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Statistics, Tableau. Minimum 2 years experience required. None mentioned. Must thrive in a ambiguity.",2,2,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with A/B Testing, R, SQL. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 0+ years of experience. Required skills: Salesforce, Statistics, Snowflake, Power BI. Master's preferred. scrappy",0,4,Master's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Airflow, Azure. Master's required. We're looking for someone who can cross-functional collaboration.",3,2,Master's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Looker, Tableau. Minimum 1 years experience required. Bachelor's required. Must thrive in a high-growth.",1,2,Bachelor's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: SAP, Python, AWS. Bachelor's preferred. ownership mindset",3,3,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Spark, GCP. Bachelor's preferred. We're looking for someone who can self-starter.",4,2,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in R, SQL, Power BI, Python, GCP. None mentioned. We're looking for someone who can cross-functional collaboration.",2,5,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Power BI, Airflow, Machine Learning. None mentioned. We're looking for someone who can ambiguity.",4,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Looker, SAP. Minimum 2 years experience required. None mentioned. Must thrive in a ownership mindset.",2,2,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Snowflake. None mentioned. We're looking for someone who can ambiguity.,3,1,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: Airflow, Python, Snowflake. Bachelor's preferred. fast-paced environment",1,3,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, Salesforce, Statistics, Airflow. Minimum 4 years experience required. Bachelor's preferred. Must thrive in a self-starter.",4,4,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with R, AWS, Python, SQL, Spark. Minimum 1 years experience required. Bachelor's required. Must thrive in a cross-functional collaboration.",1,5,Bachelor's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with GCP, Airflow, Python, Excel. Minimum 2 years experience required. None mentioned. Must thrive in a high-growth.",2,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Machine Learning, Azure, A/B Testing, Power BI, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,5,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: AWS. Master's required. scrappy,2,1,Master's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Power BI, Python. Bachelor's preferred. We're looking for someone who can cross-functional collaboration.",2,2,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Salesforce, Airflow, Statistics, SAP, Spark, Looker, dbt. Minimum 2 years experience required. None mentioned. Must thrive in a ambiguity.",2,7,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 4+ years of experience. Required skills: Power BI, Looker, GCP, Spark, Azure. Bachelor's required. self-starter",4,5,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Power BI, R, Tableau, AWS. Minimum 2 years experience required. Bachelor's preferred. Must thrive in a ambiguity.",2,4,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with R, Snowflake. Minimum 0 years experience required. Bachelor's preferred. Must thrive in a self-starter.",0,2,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with GCP. Minimum 2 years experience required. Bachelor's preferred. Must thrive in a cross-functional collaboration.",2,1,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, GCP. Minimum 2 years experience required. Bachelor's required. Must thrive in a cross-functional collaboration.",2,2,Bachelor's required
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: Airflow, AWS, Azure. Bachelor's preferred. wear many hats",3,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Power BI, Salesforce, Airflow, A/B Testing, Tableau. Minimum 4 years experience required. None mentioned. Must thrive in a cross-functional collaboration.",4,5,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 0 years of relevant experience and is proficient in Tableau, Snowflake, Salesforce. None mentioned. We're looking for someone who can cross-functional collaboration.",0,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Tableau, Power BI, Excel. Minimum 1 years experience required. Master's preferred. Must thrive in a high-growth.",1,3,Master's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: dbt, SAP, Snowflake. None mentioned. self-starter",1,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Spark, Azure, dbt. Minimum 1 years experience required. None mentioned. Must thrive in a scrappy.",1,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, Airflow. Master's required. We're looking for someone who can high-growth.",2,2,Master's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Spark, Python, Looker, Airflow. Minimum 0 years experience required. None mentioned. Must thrive in a ownership mindset.",0,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Statistics, A/B Testing, GCP. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with dbt. Minimum 2 years experience required. None mentioned. Must thrive in a high-growth.",2,1,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Salesforce, Python, Looker, Statistics. None mentioned. We're looking for someone who can cross-functional collaboration.",1,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with AWS, GCP. Minimum 0 years experience required. None mentioned. Must thrive in a wear many hats.",0,2,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Machine Learning, Salesforce, Statistics. Minimum 3 years experience required. Master's preferred. Must thrive in a cross-functional collaboration.",3,3,Master's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Machine Learning. None mentioned. We're looking for someone who can wear many hats.,2,1,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: GCP, Airflow, Power BI. Bachelor's preferred. fast-paced environment",1,3,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Power BI, Tableau. Minimum 1 years experience required. None mentioned. Must thrive in a fast-paced environment.",1,2,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with dbt, Statistics, SQL, Machine Learning, R, GCP. Minimum 1 years experience required. None mentioned. Must thrive in a wear many hats.",1,6,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Tableau, Statistics, Snowflake, Spark. Bachelor's preferred. We're looking for someone who can ownership mindset.",1,4,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Spark, Statistics, SQL. Bachelor's preferred. We're looking for someone who can ambiguity.",3,3,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: Looker, A/B Testing, Statistics, R. Bachelor's preferred. fast-paced environment",1,4,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Power BI, Statistics, R. None mentioned. We're looking for someone who can ambiguity.",2,3,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, R, Azure, Python. Minimum 0 years experience required. None mentioned. Must thrive in a scrappy.",0,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Salesforce, Snowflake, GCP. Minimum 2 years experience required. None mentioned. Must thrive in a ambiguity.",2,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: Machine Learning, Excel, AWS, Power BI, Salesforce. None mentioned. cross-functional collaboration",3,5,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with AWS, Tableau, Power BI, Salesforce, R. Minimum 2 years experience required. None mentioned. Must thrive in a cross-functional collaboration.",2,5,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with GCP, Git. Minimum 2 years experience required. None mentioned. Must thrive in a high-growth.",2,2,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with AWS. Minimum 4 years experience required. None mentioned. Must thrive in a self-starter.",4,1,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with GCP, Salesforce, Excel, SAP, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a ownership mindset.",2,5,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, Snowflake, Git, dbt. Bachelor's preferred. We're looking for someone who can high-growth.",2,4,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: Power BI, AWS, A/B Testing. None mentioned. self-starter",3,3,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: Looker. Bachelor's preferred. stakeholder management,2,1,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Git, GCP, Python. Bachelor's preferred. fast-paced environment",2,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Git, Statistics, Spark, Machine Learning, Airflow, A/B Testing. Minimum 2 years experience required. None mentioned. Must thrive in a scrappy.",2,6,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 0 years of relevant experience and is proficient in AWS, Azure, Looker, Statistics. None mentioned. We're looking for someone who can fast-paced environment.",0,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Airflow, Azure. Minimum 3 years experience required. Bachelor's preferred. Must thrive in a scrappy.",3,2,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Statistics, Salesforce, Python, Excel, Spark, Airflow. Minimum 2 years experience required. None mentioned. Must thrive in a stakeholder management.",2,6,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 4+ years of experience. Required skills: Machine Learning, SQL, Statistics. Master's required. high-growth",4,3,Master's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in AWS, Salesforce, Tableau, Snowflake. Bachelor's preferred. We're looking for someone who can scrappy.",1,4,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Snowflake, AWS. Minimum 2 years experience required. Bachelor's preferred. Must thrive in a ambiguity.",2,2,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Git, Statistics, Azure, Looker. None mentioned. cross-functional collaboration",2,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SQL, GCP, Statistics. Minimum 5 years experience required. None mentioned. Must thrive in a ambiguity.",5,3,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Spark, Excel. Minimum 3 years experience required. None mentioned. Must thrive in a ambiguity.",3,2,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Excel, Spark, AWS. Minimum 2 years experience required. None mentioned. Must thrive in a cross-functional collaboration.",2,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Statistics, Git, R. Bachelor's preferred. We're looking for someone who can ambiguity.",3,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Machine Learning, AWS, Azure, Python. Minimum 1 years experience required. Bachelor's preferred. Must thrive in a ambiguity.",1,4,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: SAP, Salesforce, Machine Learning. Bachelor's required. self-starter",2,3,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Airflow, Power BI, SQL. Minimum 2 years experience required. None mentioned. Must thrive in a fast-paced environment.",2,3,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in R, Statistics, Tableau. Bachelor's preferred. We're looking for someone who can ambiguity.",2,3,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with SAP, Power BI, Statistics. Minimum 2 years experience required. Bachelor's required. Must thrive in a high-growth.",2,3,Bachelor's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Tableau, SQL, Git, Machine Learning. None mentioned. We're looking for someone who can scrappy.",2,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Git, Excel. Minimum 0 years experience required. Bachelor's required. Must thrive in a ownership mindset.",0,2,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Azure, dbt, Machine Learning. None mentioned. high-growth",2,3,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Excel, Salesforce. None mentioned. We're looking for someone who can stakeholder management.",1,2,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Python, Looker, Azure. Minimum 1 years experience required. Bachelor's required. Must thrive in a ownership mindset.",1,3,Bachelor's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Looker, Spark, Power BI. Bachelor's preferred. We're looking for someone who can fast-paced environment.",1,3,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Statistics, SQL, Power BI, Python. None mentioned. We're looking for someone who can fast-paced environment.",1,4,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in Tableau. Master's required. We're looking for someone who can fast-paced environment.,1,1,Master's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Looker, Excel, SAP. Minimum 2 years experience required. Bachelor's required. Must thrive in a self-starter.",2,3,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with GCP, Git, SAP. Minimum 1 years experience required. None mentioned. Must thrive in a scrappy.",1,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Power BI, A/B Testing. Bachelor's required. wear many hats",2,2,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Git, dbt, Airflow, Azure, Salesforce. None mentioned. We're looking for someone who can scrappy.",2,5,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Snowflake, GCP, Excel, A/B Testing. Minimum 4 years experience required. Bachelor's preferred. Must thrive in a stakeholder management.",4,4,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Excel, Airflow, SQL. Bachelor's required. We're looking for someone who can scrappy.",2,3,Bachelor's required
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: Tableau, Statistics, Git. Bachelor's preferred. ambiguity",3,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Tableau, Git, Excel, Snowflake. None mentioned. stakeholder management",2,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: R, Statistics, GCP, dbt. None mentioned. ownership mindset",2,4,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in R, SAP, GCP. Bachelor's preferred. We're looking for someone who can ownership mindset.",1,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Python, Machine Learning, Azure. Bachelor's preferred. stakeholder management",2,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: GCP, Snowflake, AWS, dbt, Airflow. Master's preferred. stakeholder management",3,5,Master's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Git, Machine Learning. Minimum 2 years experience required. Bachelor's required. Must thrive in a ambiguity.",2,2,Bachelor's required
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in A/B Testing, Machine Learning, Tableau. Master's preferred. We're looking for someone who can fast-paced environment.",2,3,Master's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with dbt, Spark, A/B Testing. Minimum 3 years experience required. Bachelor's preferred. Must thrive in a ambiguity.",3,3,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 3+ years of experience. Required skills: Power BI, SAP, Looker, GCP. None mentioned. self-starter",3,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Tableau, A/B Testing, Airflow, Salesforce. Minimum 4 years experience required. None mentioned. Must thrive in a stakeholder management.",4,4,None mentioned
